,Mkt-RF,SMB,HML,RF
20190306,   -0.84,   -1.27,    0.05,   0.009
20190307,   -0.82,   -0.07,   -0.33,   0.009
20190308,   -0.22,    0.05,   -0.15,   0.009
20190311,    1.49,    0.36,   -0.52,   0.009
20190312,    0.25,   -0.27,   -0.08,   0.009
20190313,    0.68,   -0.31,    0.07,   0.009
20190314,   -0.10,   -0.40,    0.30,   0.009
20190315,    0.48,   -0.25,   -0.24,   0.009
20190318,    0.46,    0.16,    0.44,   0.009
20190319,   -0.09,   -0.38,   -0.91,   0.009
20190320,   -0.39,    0.02,   -1.04,   0.009
20190321,    1.11,    0.30,   -1.23,   0.009
20190322,   -2.17,   -1.52,   -0.06,   0.009
20190325,   -0.05,    0.66,   -0.27,   0.009
20190326,    0.76,    0.17,    0.46,   0.009
20190327,   -0.50,    0.10,    0.49,   0.009
20190328,    0.40,    0.34,    0.02,   0.009
20190329,    0.66,   -0.22,   -0.92,   0.009
20190401,    1.19,   -0.30,    0.99,   0.010
20190402,   -0.05,   -0.13,   -0.44,   0.010
20190403,    0.27,    0.22,   -0.39,   0.010
20190404,    0.19,    0.21,    0.92,   0.010
20190405,    0.52,    0.53,   -0.08,   0.010
20190408,    0.08,   -0.29,    0.10,   0.010
20190409,   -0.65,   -0.57,   -0.14,   0.010
20190410,    0.48,    0.97,   -0.10,   0.010
20190411,    0.00,   -0.31,    0.41,   0.010
20190412,    0.65,   -0.50,    0.64,   0.010
20190415,   -0.09,   -0.22,   -0.54,   0.010
20190416,    0.13,    0.12,    0.70,   0.010
20190417,   -0.32,   -0.70,    0.83,   0.010
20190418,    0.11,   -0.25,   -0.51,   0.010
20190422,    0.11,   -0.46,   -0.55,   0.010
20190423,    0.97,    0.72,   -0.48,   0.010
20190424,   -0.23,    0.27,   -0.08,   0.010
20190425,   -0.14,   -0.75,   -0.19,   0.010
20190426,    0.53,    0.43,    0.07,   0.010
20190429,    0.18,    0.08,    0.64,   0.010
20190430,   -0.04,   -0.70,    0.28,   0.010
20190501,   -0.83,   -0.10,   -0.02,   0.009
20190502,   -0.16,    0.45,   -0.27,   0.009
20190503,    1.13,    0.94,   -0.27,   0.009
20190506,   -0.39,    0.60,   -0.42,   0.009
20190507,   -1.69,   -0.28,    0.50,   0.009
20190508,   -0.22,   -0.15,   -0.32,   0.009
20190509,   -0.28,    0.08,    0.12,   0.009
20190510,    0.35,   -0.37,    0.08,   0.009
20190513,   -2.67,   -0.73,    0.29,   0.009
20190514,    0.93,    0.40,   -0.02,   0.009
20190515,    0.58,    0.05,   -0.95,   0.009
20190516,    0.91,   -0.40,   -0.32,   0.009
20190517,   -0.73,   -0.80,    0.29,   0.009
20190520,   -0.65,   -0.23,    0.72,   0.009
20190521,    0.90,    0.43,   -0.35,   0.009
20190522,   -0.40,   -0.52,   -0.59,   0.009
20190523,   -1.37,   -0.69,   -0.27,   0.009
20190524,    0.23,    0.50,    0.31,   0.009
20190528,   -0.78,    0.29,   -0.63,   0.009
20190529,   -0.71,   -0.29,    0.42,   0.009
20190530,    0.14,   -0.28,   -0.77,   0.009
20190531,   -1.37,   -0.22,   -0.09,   0.009
20190603,   -0.40,    0.35,    1.65,   0.009
20190604,    2.33,    0.42,   -0.02,   0.009
20190605,    0.70,   -0.98,   -0.97,   0.009
20190606,    0.55,   -1.04,    0.01,   0.009
20190607,    1.04,    0.05,   -1.20,   0.009
20190610,    0.53,   -0.04,    0.08,   0.009
20190611,   -0.12,   -0.25,    0.55,   0.009
20190612,   -0.20,    0.41,   -0.98,   0.009
20190613,    0.52,    0.67,   -0.04,   0.009
20190614,   -0.27,   -0.79,    0.31,   0.009
20190617,    0.15,    0.63,   -1.12,   0.009
20190618,    1.04,    0.16,    0.33,   0.009
20190619,    0.32,    0.11,   -0.60,   0.009
20190620,    0.89,   -0.36,   -0.23,   0.009
20190621,   -0.21,   -0.47,   -0.04,   0.009
20190624,   -0.34,   -0.89,    0.08,   0.009
20190625,   -0.98,    0.34,    0.71,   0.009
20190626,   -0.06,   -0.05,    0.25,   0.009
20190627,    0.60,    1.42,   -0.09,   0.009
20190628,    0.68,    0.64,    0.61,   0.009
20190701,    0.75,   -0.54,   -0.13,   0.009
20190702,    0.14,   -0.79,   -0.81,   0.009
20190703,    0.78,   -0.04,   -0.33,   0.009
20190705,   -0.10,    0.16,    0.91,   0.009
20190708,   -0.58,   -0.45,    0.05,   0.009
20190709,    0.18,   -0.15,   -0.43,   0.009
20190710,    0.40,   -0.15,   -0.36,   0.009
20190711,    0.19,   -0.79,    0.04,   0.009
20190712,    0.53,    0.18,    0.41,   0.009
20190715,   -0.04,   -0.34,   -1.07,   0.009
20190716,   -0.32,    0.35,    0.10,   0.009
20190717,   -0.64,   -0.15,   -0.65,   0.009
20190718,    0.35,   -0.29,    0.02,   0.009
20190719,   -0.56,    0.15,    0.86,   0.009
20190722,    0.25,   -0.44,   -0.49,   0.009
20190723,    0.65,   -0.23,    0.81,   0.009
20190724,    0.66,    0.74,    0.85,   0.009
20190725,   -0.63,   -0.66,   -0.12,   0.009
20190726,    0.82,    0.39,   -0.19,   0.009
20190729,   -0.32,   -0.34,   -0.46,   0.009
20190730,   -0.17,    1.36,    0.89,   0.009
20190731,   -1.09,    0.12,    0.61,   0.009
20190801,   -1.04,   -0.42,   -1.90,   0.007
20190802,   -0.87,   -0.31,    0.07,   0.007
20190805,   -3.07,   -0.01,    0.00,   0.007
20190806,    1.29,   -0.42,   -0.59,   0.007
20190807,    0.07,    0.08,   -0.90,   0.007
20190808,    1.97,    0.04,   -0.23,   0.007
20190809,   -0.78,   -0.42,   -0.23,   0.007
20190812,   -1.32,    0.28,   -0.27,   0.007
20190813,    1.47,   -0.17,   -0.54,   0.007
20190814,   -2.95,    0.22,   -0.51,   0.007
20190815,    0.16,   -0.61,   -0.52,   0.007
20190816,    1.55,    0.52,    0.61,   0.007
20190819,    1.14,    0.01,    0.22,   0.007
20190820,   -0.75,    0.30,   -0.50,   0.007
20190821,    0.85,    0.05,   -0.30,   0.007
20190822,   -0.10,   -0.53,    0.49,   0.007
